陀螺X(弧度),陀螺Y(弧度),陀螺Z(弧度),加速度X(mg),加速度Y(mg),加速度Z(mg),滚动角(度),俯仰角(度),航向角(度)
-0.07194,-0.04488,0.00073,351.35610,-1.45638,-984.21340,-0.56126,19.14791,74.71896
-0.07194,0.00000,0.00073,351.35610,-1.45638,-984.21340,-0.56126,19.14791,74.71896
-0.09860,-0.07100,-0.00007,348.11880,2.66596,-985.56900,-0.99321,18.79466,74.71735
-0.09860,0.00000,-0.00007,348.11880,2.66596,-985.56900,-0.99321,18.79466,74.71735
-0.09860,0.00000,-0.00007,348.11880,2.66596,-985.56900,-0.99321,18.79466,74.71735
-0.09711,0.00000,0.00168,343.43070,9.05020,-986.96860,-1.24810,18.58007,74.72085
-0.09711,0.00000,0.00168,343.43070,9.05020,-986.96860,-1.24810,18.58007,74.72085
-0.08589,0.98050,0.00370,340.84200,11.93681,-988.59340,-1.40087,18.42906,74.73904
-0.08589,0.98050,0.00370,340.84200,11.93681,-988.59340,-1.40087,18.42906,74.73904
-0.08163,-0.07274,0.00236,337.44690,16.12418,-989.70500,-1.59433,18.19576,74.75652
-0.08163,0.00000,0.00236,337.44690,16.12418,-989.70500,-1.59433,18.19576,74.75652
-0.08163,0.00000,0.00236,337.44690,16.12418,-989.70500,-1.59433,18.19576,74.75652
-0.08729,0.00000,0.00153,334.65410,20.35129,-990.75590,-1.86987,17.88754,74.80070
-0.08729,0.00000,0.00153,334.65410,20.35129,-990.75590,-1.86987,17.88754,74.80070
-0.09923,0.97260,-0.00022,330.89310,24.98448,-992.41650,-2.20663,17.50533,74.82144
-0.09923,0.97260,-0.00022,330.89310,24.98448,-992.41650,-2.20663,17.50533,74.82144
-0.09923,0.97260,-0.00022,330.89310,24.98448,-992.41650,-2.20663,17.50533,74.82144
-0.11458,0.00000,-0.00222,323.51580,31.66163,-993.36820,-2.63043,16.99759,74.83352
-0.11458,0.00000,-0.00222,323.51580,31.66163,-993.36820,-2.63043,16.99759,74.83352
-0.10969,-0.13362,-0.00306,317.60210,38.00549,-995.03990,-2.91470,16.60606,74.86345
-0.10969,-0.13362,-0.00306,317.60210,38.00549,-995.03990,-2.91470,16.60606,74.86345
-0.11714,-0.15015,-0.00495,311.50150,42.27815,-998.11260,-3.26837,16.10445,74.91442
-0.11714,-0.15015,-0.00495,311.50150,42.27815,-998.11260,-3.26837,16.10445,74.91442
-0.11714,0.00000,-0.00495,311.50150,42.27815,-998.11260,-3.26837,16.10445,74.91442
-0.13334,-0.18280,-0.00708,302.12300,49.70269,-1000.03800,-3.74889,15.40002,74.92969
-0.13334,-0.18280,-0.00708,302.12300,49.70269,-1000.03800,-3.74889,15.40002,74.92969
-0.13334,0.00000,-0.00708,302.12300,49.70269,-1000.03800,-3.74889,15.40002,74.92969
-0.12469,-0.17349,-0.00785,292.30840,57.41172,-1000.88200,-4.07496,14.95339,74.95325
-0.12469,0.00000,-0.00785,292.30840,57.41172,-1000.88200,-4.07496,14.95339,74.95325
-0.10207,-0.14847,-0.00601,284.25920,64.46394,-1003.32700,-4.25710,14.67073,74.98973
-0.10207,0.00000,-0.00601,284.25920,64.46394,-1003.32700,-4.25710,14.67073,74.98973
-0.09363,-0.14726,-0.00700,278.66040,69.60703,-1004.30000,-4.48060,14.29619,75.04855
-0.09363,-0.14726,-0.00700,278.66040,69.60703,-1004.30000,-4.48060,14.29619,75.04855
-0.09141,-0.15354,-0.00895,273.58830,70.96337,-1009.63800,-4.67820,13.86654,75.11250
-0.09141,-0.15354,-0.00895,273.58830,70.96337,-1009.63800,-4.67820,13.86654,75.11250
-0.09141,0.97530,-0.00895,273.58830,70.96337,-1009.63800,-4.67820,13.86654,75.11250
-0.09092,-0.17726,-0.01075,264.16010,79.46740,-1008.51000,-5.00050,13.22669,75.18679
-0.09092,0.00000,-0.01075,264.16010,79.46740,-1008.51000,-5.00050,13.22669,75.18679
-0.09092,0.00000,-0.01075,264.16010,79.46740,-1008.51000,-5.00050,13.22669,75.18679
-0.09895,0.00000,-0.01087,257.99320,80.82220,-1011.14900,-5.25028,12.52218,75.30729
-0.09895,0.00000,-0.01087,257.99320,80.82220,-1011.14900,-5.25028,12.52218,75.30729
-0.09624,0.00000,-0.01182,240.53010,89.94842,-1009.99500,-5.58555,11.66821,75.35099
-0.09624,0.00000,-0.01182,240.53010,89.94842,-1009.99500,-5.58555,11.66821,75.35099
-0.06980,-0.18748,-0.01179,229.65650,95.10220,-1010.79200,-5.66953,11.36423,75.42546
-0.06980,0.98110,-0.01179,229.65650,95.10220,-1010.79200,-5.66953,11.36423,75.42546
-0.06980,0.98110,-0.01179,229.65650,95.10220,-1010.79200,-5.66953,11.36423,75.42546
-0.04861,0.97590,-0.01158,222.55560,96.05025,-1015.02900,-5.67360,11.17970,75.45020
-0.04861,0.97590,-0.01158,222.55560,96.05025,-1015.02900,-5.67360,11.17970,75.45020
-0.03889,-0.14733,-0.01441,217.49800,98.88795,-1016.90500,-5.73005,10.82481,75.51548
-0.03889,0.00000,-0.01441,217.49800,98.88795,-1016.90500,-5.73005,10.82481,75.51548
-0.03889,0.00000,-0.01441,217.49800,98.88795,-1016.90500,-5.73005,10.82481,75.51548
-0.05616,0.00000,-0.02947,213.08630,101.62220,-1020.15500,-6.06654,9.80024,75.53919
-0.05616,0.00000,-0.02947,213.08630,101.62220,-1020.15500,-6.06654,9.80024,75.53919
-0.05834,-0.23934,-0.04264,197.88010,107.06410,-1019.50000,-6.26095,8.93848,75.47421
-0.05834,-0.23934,-0.04264,197.88010,107.06410,-1019.50000,-6.26095,8.93848,75.47421
-0.04270,-0.23755,-0.05047,184.40260,109.44960,-1020.83600,-6.31558,8.27851,75.42488
-0.04270,-0.23755,-0.05047,184.40260,109.44960,-1020.83600,-6.31558,8.27851,75.42488
-0.04270,-0.23755,-0.05047,184.40260,109.44960,-1020.83600,-6.31558,8.27851,75.42488
-0.02990,-0.22445,-0.05162,170.77140,111.89190,-1021.88000,-6.35482,7.71448,75.42239
-0.02990,-0.22445,-0.05162,170.77140,111.89190,-1021.88000,-6.35482,7.71448,75.42239
-0.02990,0.00000,-0.05162,170.77140,111.89190,-1021.88000,-6.35482,7.71448,75.42239
-0.00405,-0.18666,-0.04676,158.37580,114.72730,-1023.26900,-6.25730,7.39038,75.45133
-0.00405,0.00000,-0.04676,158.37580,114.72730,-1023.26900,-6.25730,7.39038,75.45133
0.01120,-0.14272,-0.03875,151.34140,113.19990,-1027.39100,-6.14191,7.25180,75.48758
0.01120,-0.14272,-0.03875,151.34140,113.19990,-1027.39100,-6.14191,7.25180,75.48758
0.01375,-0.12405,-0.03657,145.75460,112.92530,-1028.77700,-6.10716,7.01185,75.52137
0.01375,-0.12405,-0.03657,145.75460,112.92530,-1028.77700,-6.10716,7.01185,75.52137
0.01375,0.00000,-0.03657,145.75460,112.92530,-1028.77700,-6.10716,7.01185,75.52137
0.01593,-0.11859,-0.03528,141.39830,112.00820,-1030.66000,-6.06048,6.73087,75.56715
0.01593,0.87420,-0.03528,141.39830,112.00820,-1030.66000,-6.06048,6.73087,75.56715
0.01270,-0.13934,-0.04196,134.39900,111.97210,-1031.18100,-6.06980,6.21000,75.54608
0.01270,0.94170,-0.04196,134.39900,111.97210,-1031.18100,-6.06980,6.21000,75.54608
0.01270,0.94170,-0.04196,134.39900,111.97210,-1031.18100,-6.06980,6.21000,75.54608
0.00408,-0.16116,-0.04377,123.53290,111.01220,-1029.94600,-6.11840,5.59986,75.54549
0.00408,0.97230,-0.04377,123.53290,111.01220,-1029.94600,-6.11840,5.59986,75.54549
0.01250,-0.16350,-0.04114,115.02690,113.63300,-1031.16700,-6.07972,5.12759,75.58366
0.01250,0.00000,-0.04114,115.02690,113.63300,-1031.16700,-6.07972,5.12759,75.58366
0.01250,0.00000,-0.04114,115.02690,113.63300,-1031.16700,-6.07972,5.12759,75.58366
0.01909,0.00000,-0.03252,105.01520,114.03200,-1032.44900,-6.01775,4.54202,75.68599
0.01909,0.00000,-0.03252,105.01520,114.03200,-1032.44900,-6.01775,4.54202,75.68599
0.02420,-0.16806,-0.01893,96.18690,113.31440,-1034.40100,-5.93319,4.12148,75.82659
0.02420,0.00000,-0.01893,96.18690,113.31440,-1034.40100,-5.93319,4.12148,75.82659
0.02318,-0.13783,-0.01238,89.64746,111.16690,-1033.84300,-5.87772,3.92199,75.92759
0.02318,0.00000,-0.01238,89.64746,111.16690,-1033.84300,-5.87772,3.92199,75.92759
0.02318,0.00000,-0.01238,89.64746,111.16690,-1033.84300,-5.87772,3.92199,75.92759
0.02562,0.97350,-0.01171,84.82463,110.82730,-1037.36800,-5.81402,3.71204,76.04717
0.02562,0.97350,-0.01171,84.82463,110.82730,-1037.36800,-5.81402,3.71204,76.04717
0.02912,-0.12289,-0.01077,80.58307,109.64630,-1038.96600,-5.73030,3.39036,76.16331
0.02912,-0.12289,-0.01077,80.58307,109.64630,-1038.96600,-5.73030,3.39036,76.16331
0.03544,-0.13711,-0.00696,72.95523,108.51110,-1038.26700,-5.62105,2.93193,76.29618
0.03544,0.00000,-0.00696,72.95523,108.51110,-1038.26700,-5.62105,2.93193,76.29618
0.03544,0.00000,-0.00696,72.95523,108.51110,-1038.26700,-5.62105,2.93193,76.29618
0.04348,-0.16042,-0.00413,67.58263,107.55550,-1039.65100,-5.48186,2.40952,76.51341
0.04348,-0.16042,-0.00413,67.58263,107.55550,-1039.65100,-5.48186,2.40952,76.51341
0.04348,0.97680,-0.00413,67.58263,107.55550,-1039.65100,-5.48186,2.40952,76.51341
0.05240,-0.18161,0.00119,58.43773,105.33640,-1039.31800,-5.30047,1.80613,76.69330
0.05240,-0.18161,0.00119,58.43773,105.33640,-1039.31800,-5.30047,1.80613,76.69330
0.04689,-0.18266,-0.00262,45.41792,103.08520,-1037.73200,-5.21841,1.22481,76.80434
0.04689,-0.18266,-0.00262,45.41792,103.08520,-1037.73200,-5.21841,1.22481,76.80434
0.04124,-0.14952,-0.00354,39.62913,101.88170,-1038.19900,-5.16843,1.02737,76.93816
0.04124,-0.14952,-0.00354,39.62913,101.88170,-1038.19900,-5.16843,1.02737,76.93816
